Site ID;Sample ID;Startdate;Enddate;Start;End;Trapping Days;Latitude;Longitude;County;Barcodes;Entire sample sequenced;Time period;Horticultural region;Avg. annual temperature;Avg. annual precipitation
16;M16004;15/06/2018;03/07/2018;15/06/2018;03/07/2018;18;58.333376;14.82316;Östergötland;188;N;Midsummer;II (orange);06-ago;500-600
16;M16008;18/07/2018;06/08/2018;18/07/2018;06/08/2018;19;58.333376;14.82316;Östergötland;156;N;Late Summer;II (orange);06-ago;500-600
16;M16014;16/10/2018;30/11/2018;16/10/2018;30/11/2018;45;58.333376;14.82316;Östergötland;174;N;Offseason;II (orange);06-ago;500-600
17;M17005;17/05/2018;23/05/2018;17/05/2018;23/05/2018;6;58.344196;11.334593;Västra Götaland;50;Y;Late Spring;III (gold);08-oct;800-900
17;M17008;11/06/2018;22/06/2018;11/06/2018;22/06/2018;11;58.344196;11.334593;Västra Götaland;27;Y;Midsummer;III (gold);08-oct;800-900
17;M17012;25/07/2018;09/08/2018;25/07/2018;09/08/2018;15;58.344196;11.334593;Västra Götaland;48;Y;Late Summer;III (gold);08-oct;800-900
17;M17018;19/10/2018;05/02/2019;19/10/2018;05/02/2019;109;58.344196;11.334593;Västra Götaland;10;Y;Offseason;III (gold);08-oct;800-900
18;M18005;13/05/2018;22/05/2018;13/05/2018;22/05/2018;9;59.278145;18.761432;Stockholm;1815;Y;Late Spring;III (gold);06-ago;500-600
18;M18009;11/06/2018;22/06/2018;11/06/2018;22/06/2018;11;59.278145;18.761432;Stockholm;180;N;Midsummer;III (gold);06-ago;500-600
18;M18015;29/07/2018;06/08/2018;29/07/2018;06/08/2018;8;59.278145;18.761432;Stockholm;176;N;Late Summer;III (gold);06-ago;500-600
18;M18022;21/10/2018;16/11/2018;21/10/2018;16/11/2018;26;59.278145;18.761432;Stockholm;69;Y;Offseason;III (gold);06-ago;500-600
19;M19007;17/05/2018;24/05/2018;17/05/2018;24/05/2018;7;59.336237;18.067797;Stockholm;1;Y;Late Spring;II (orange);06-ago;500-600
19;M19012;21/06/2018;28/06/2018;21/06/2018;28/06/2018;7;59.336237;18.067797;Stockholm;2;Y;Midsummer;II (orange);06-ago;500-600
19;M19017;25/07/2018;02/08/2018;25/07/2018;02/08/2018;8;59.336237;18.067797;Stockholm;11;Y;Late Summer;II (orange);06-ago;500-600
19;M19027;05/10/2018;01/11/2018;05/10/2018;01/11/2018;27;59.336237;18.067797;Stockholm;1;Y;Offseason;II (orange);06-ago;500-600
20;M20002;16/05/2018;28/05/2018;16/05/2018;28/05/2018;12;62.440881;17.423142;Medelpad;562;N;Late Spring;IV (olive);04-jun;500-600
20;M20005;13/06/2018;23/06/2018;13/06/2018;23/06/2018;10;62.440881;17.423142;Medelpad;188;N;Midsummer;IV (olive);04-jun;500-600
20;M20011;23/07/2018;01/08/2018;23/07/2018;01/08/2018;9;62.440881;17.423142;Medelpad;181;N;Late Summer;IV (olive);04-jun;500-600
20;M20020;29/10/2018;15/11/2018;29/10/2018;15/11/2018;17;62.440881;17.423142;Medelpad;35;Y;Offseason;IV (olive);04-jun;500-600
21;M21002;15/05/2018;29/05/2018;15/05/2018;29/05/2018;14;63.345011;14.537859;Jämtland;551;N;Late Spring;VI (purple);02-abr;500-600
21;M21004;12/06/2018;25/06/2018;12/06/2018;25/06/2018;13;63.345011;14.537859;Jämtland;260;N;Midsummer;VI (purple);02-abr;500-600
21;M21007;23/07/2018;06/08/2018;23/07/2018;06/08/2018;14;63.345011;14.537859;Jämtland;179;N;Late Summer;VI (purple);02-abr;500-600
21;M21014;30/10/2018;12/11/2018;30/10/2018;12/11/2018;13;63.345011;14.537859;Jämtland;2;Y;Offseason;VI (purple);02-abr;500-600
22;M22003;17/05/2018;24/05/2018;17/05/2018;24/05/2018;7;62.645503;15.63441;Jämtland;563;N;Late Spring;VII (dark blue);02-abr;500-600
22;M22006;11/06/2018;22/06/2018;11/06/2018;22/06/2018;11;62.645503;15.63441;Jämtland;180;N;Midsummer;VII (dark blue);02-abr;500-600
22;M22012;28/07/2018;05/08/2018;28/07/2018;05/08/2018;8;62.645503;15.63441;Jämtland;172;N;Late Summer;VII (dark blue);02-abr;500-600
22;M22018;14/10/2018;04/11/2018;14/10/2018;04/11/2018;21;62.645503;15.63441;Jämtland;94;Y;Offseason;VII (dark blue);02-abr;500-600
23;M23001;16/05/2018;23/05/2018;16/05/2018;23/05/2018;7;63.8201;20.316182;Västerbotten;301;Y;Late Spring;V (green);04-jun;600-700
23;M23006;20/06/2018;26/06/2018;20/06/2018;26/06/2018;6;63.8201;20.316182;Västerbotten;179;N;Midsummer;V (green);04-jun;600-700
23;M23011;25/07/2018;01/08/2018;25/07/2018;01/08/2018;7;63.8201;20.316182;Västerbotten;186;N;Late Summer;V (green);04-jun;600-700
23;M23014;26/09/2018;07/11/2018;26/09/2018;07/11/2018;42;63.8201;20.316182;Västerbotten;55;Y;Offseason;V (green);04-jun;600-700
24;M24002;20/05/2018;28/05/2018;20/05/2018;28/05/2018;8;63.795572;20.897138;Västerbotten;288;Y;Late Spring;V (green);04-jun;500-600
24;M24006;18/06/2018;24/06/2018;18/06/2018;24/06/2018;6;63.795572;20.897138;Västerbotten;189;N;Midsummer;V (green);04-jun;500-600
24;M24013;26/07/2018;05/08/2018;26/07/2018;05/08/2018;10;63.795572;20.897138;Västerbotten;170;N;Late Summer;V (green);04-jun;500-600
24;M24018;11/10/2018;14/11/2018;11/10/2018;14/11/2018;34;63.795572;20.897138;Västerbotten;37;Y;Offseason;V (green);04-jun;500-600
25;M25001;01/06/2018;24/06/2018;01/06/2018;24/06/2018;23;66.429977;20.624348;Norrbotten;542;N;Midsummer;VI (purple);0-2;600-700
25;M25004;22/07/2018;07/08/2018;22/07/2018;07/08/2018;16;66.429977;20.624348;Norrbotten;172;N;Late Summer;VI (purple);0-2;600-700
25;M25007;25/10/2018;15/11/2018;25/10/2018;15/11/2018;21;66.429977;20.624348;Norrbotten;no phorids;n/a;Offseason;VI (purple);0-2;600-700
26;M26001;02/06/2018;24/06/2018;02/06/2018;24/06/2018;22;66.375152;20.713693;Norrbotten;545;N;Midsummer;VI (purple);0-2;600-700
26;M26004;22/07/2018;07/08/2018;22/07/2018;07/08/2018;16;66.375152;20.713693;Norrbotten;183;N;Late Summer;VI (purple);0-2;600-700
26;M26007;25/10/2018;15/11/2018;25/10/2018;15/11/2018;21;66.375152;20.713693;Norrbotten;no phorids;n/a;Offseason;VI (purple);0-2;600-700
28;M28001;05/06/2018;28/06/2018;05/06/2018;28/06/2018;23;68.11062;23.327608;Norrbotten;545;N;Midsummer;VIII (light blue);-2;500-600
28;M28007;25/07/2018;01/08/2018;25/07/2018;01/08/2018;7;68.11062;23.327608;Norrbotten;183;N;Late Summer;VIII (light blue);-2;500-600
28;M28010;29/09/2018;25/05/2019;29/09/2018;25/05/2019;238;68.11062;23.327608;Norrbotten;184;N;Offseason;VIII (light blue);-2;500-600
29;M29001;05/06/2018;28/06/2018;05/06/2018;28/06/2018;23;68.079745;23.243206;Norrbotten;500;N;Midsummer;VIII (light blue);-2;500-600
29;M29007;25/07/2018;03/08/2018;25/07/2018;03/08/2018;9;68.079745;23.243206;Norrbotten;185;N;Late Summer;VIII (light blue);-2;500-600
29;M29009;18/08/2018;07/07/2019;18/08/2018;07/07/2019;323;68.079745;23.243206;Norrbotten;186;N;Offseason;VIII (light blue);-2;500-600
30;M30001;05/06/2018;28/06/2018;05/06/2018;28/06/2018;23;68.111431;23.330286;Norrbotten;174;N;Midsummer;VIII (light blue);-2;500-600
30;M30007;25/07/2018;01/08/2018;25/07/2018;01/08/2018;7;68.111431;23.330286;Norrbotten;188;N;Late Summer;VIII (light blue);-2;500-600
