	M01025	M01030	M01035	M02006	M02010	M02014	M03006	M03014	M03019	M04006	M04010	M04014	M04020	M05006	M05012	M05019	M06005	M06009	M06016	M07004	M07008	M07012	M07020	M10001	M10005	M10010	M10017	M40013	M40014	M40017	M42004	M42025	M42030	M41011	M41016	M41022	M41006	M08002	M08005	M08009	M46001	M46004	M15002	M15004	M15010	M15026	M16002	M16004	M16008	M16014	M18005	M18009	M18015	M20002	M20005	M20011	M23001	M23006	M23011	M24002	M24006	M24013	M45013	M21002	M21004	M21007	M44002	M44004	M44007	M22003	M22006	M22012	M25001	M25004	M26001	M26004	M38001	M38002	M38004	M31001	M31005	M31013	M32001	M32005	M32013	M33001	M33005	M33013	M34001	M34005	M34013	M35001	M35005	M35013	M28001	M28007	M28010	M29001	M29007	M29009	M30001	M30007	M30010	M43001	M43007	M43010
sp36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	16	0	0	5	0	0	3	0	0	7	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0
sp37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	2	0	0	1	0	0	2	0	0	18	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1
sp40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sp41	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp42	4	7	2	58	14	5	4	0	1	43	11	6	20	5	4	2	4	0	0	22	19	0	1	31	2	0	3	1	2	0	3	29	8	2	4	3	3	17	3	0	32	0	2	2	0	11	10	3	0	0	156	3	5	2	2	6	11	5	5	3	2	3	4	4	3	2	1	1	0	0	0	0	52	14	3	0	17	4	0	22	0	0	4	0	0	4	0	0	6	0	0	27	0	3	10	0	0	1	0	5	6	0	9	14	0	3
sp43	0	58	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	46	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp44	12	3	3	1	0	0	0	0	0	0	0	0	0	1	0	3	1	0	1	8	0	5	1	0	0	0	0	2	1	3	1	15	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	11	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	3	0	0	3	0
sp45	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	0	2	0	0	6	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	30	8	0	0	4	0	0	0	0	0	0	0	0	1	1	0	17	24	0	3	0	33	1	53	19	0	1	0	0	7	0	0	2	0	0	3	0	0	44	0	8	38	0	0	1	0	0	11	0	1	5	0	5
