	LateSpring	Midsummer	LateSummer	Offseason
sp1	0	0	8	0
sp2	0	7	1	0
sp3	0	2	0	0
sp4	0	0	2	1
sp5	0	0	2	0
sp6	0	14	1	0
sp7	0	0	0	0
sp8	11	0	12	0
sp9	4	0	0	0
sp10	7	12	10	0
sp11	0	0	2	0
sp12	5	0	0	0
sp13	0	0	0	0
sp14	0	0	1	0
sp15	13	2	0	0
sp16	0	0	0	0
sp17	0	0	2	0
sp18	2	7	0	0
sp19	1	4	0	0
sp20	1	0	0	0
sp21	23	0	0	0
sp22	9	2	0	0
sp23	0	3	1	0
sp24	0	9	15	0
sp25	0	5	4	0
sp26	3	1	1	0
sp27	0	3	0	0
sp28	0	0	1	0
sp29	0	3	1	0
sp30	0	0	10	0
sp31	16	2	1	1
sp32	1	0	1	0
sp33	1	0	5	0
sp34	8	4	0	0
sp35	10	1	1	0
sp36	0	2	2	0
sp37	0	0	28	0
sp38	0	0	3	0
sp39	0	27	0	0
sp40	4	0	0	0
sp41	3	3	1	0
sp42	438	96	49	48
sp43	0	152	0	1
sp44	40	21	31	1
sp45	157	60	0	0
sp46	0	1	1	0
sp47	2	0	0	0
sp48	0	0	0	0
sp49	12	0	0	2
sp50	72	17	15	5
sp51	111	4	12	2
sp52	0	0	1	0
sp53	0	0	0	11
sp54	208	123	57	28
sp55	0	2	0	0
sp56	0	0	1	43
sp57	0	0	79	1
sp58	21	60	31	1
sp59	1	3	0	0
sp60	7	0	0	0
sp61	147	49	16	0
sp62	0	0	3	0
sp63	0	3	2	0
sp64	10	5	9	0
sp65	374	31	24	3
sp66	1	3	1	0
sp67	1	1	1	0
sp68	2	0	0	0
sp69	238	82	251	37
sp70	62	12	2	0
sp71	44	15	7	0
sp72	5	6	1	0
sp73	0	5	11	1
sp74	0	1	0	0
sp75	20	4	0	0
sp76	0	8	2	0
sp77	56	21	6	6
sp78	0	0	0	36
sp79	2	29	0	0
sp80	46	7	1	0
sp81	2	1	0	0
sp82	2	1	0	0
sp83	0	0	0	0
sp84	5	72	91	4
sp85	6	0	0	0
sp86	86	27	13	24
sp87	1	6	0	0
sp88	1	0	0	1
sp89	16	11	9	20
sp90	0	0	2	0
sp91	30	2	4	0
sp92	0	1	0	0
sp93	9	0	0	0
sp94	3	0	7	2
sp95	49	46	11	2
sp96	0	0	1	0
sp97	0	0	23	0
sp98	0	0	4	0
sp99	0	8	14	0
sp100	147	19	20	0
sp101	11	0	2	2
sp102	13	14	13	22
sp103	0	33	31	0
sp104	0	4	5	0
sp105	18	0	0	0
sp106	98	23	28	3
sp107	3	0	2	1
sp108	15	2	0	0
sp109	0	9	10	2
sp110	9	0	0	0
sp111	0	0	58	3
sp112	0	2	3	0
sp113	97	25	27	3
sp114	0	2	0	0
sp115	6	0	0	0
sp116	0	1	0	0
sp117	17	37	17	2
sp118	21	3	3	2
sp119	0	0	4	0
sp120	0	0	0	0
sp121	0	8	3	1
sp122	0	0	0	0
sp123	12	2	0	1
sp124	7	15	0	0
sp125	4	1	0	0
sp126	5	3	0	0
sp127	5	0	0	0
sp128	0	0	0	0
sp129	150	45	35	0
sp130	113	29	16	2
sp131	9	1	5	0
sp132	18	1	0	0
sp133	0	1	0	22
sp134	0	8	0	0
sp135	4	1	0	0
sp136	34	10	4	54
sp137	3	1	0	1
sp138	68	0	0	0
sp139	0	1	10	2
sp140	0	0	1	0
sp141	7	0	0	0
sp142	0	11	0	4
sp143	0	0	0	42
sp144	0	4	1	0
sp145	1	2	8	0
sp146	165	13	1	0
sp147	10	1	0	0
sp148	2	0	2	0
sp149	0	0	0	0
sp150	0	0	0	0
sp151	0	1	0	1
sp152	0	0	0	0
sp153	23	17	10	1
sp154	0	2	1	0
sp155	24	17	1	0
sp156	38	0	0	0
sp157	27	16	16	3
sp158	90	3	0	0
sp159	1	1	10	0
sp160	32	1	0	0
sp161	13	0	0	0
sp162	11	1	0	1
sp163	13	3	1	1
sp164	0	2	3	0
sp165	11	2	0	0
sp166	4	0	0	0
sp167	0	0	1	0
sp168	0	0	91	0
sp169	1	0	0	0
sp170	0	1	1	0
sp171	0	0	1	11
sp172	0	0	4	0
sp173	0	0	0	0
sp174	0	0	0	0
sp175	0	0	8	0
sp176	0	0	5	0
sp177	178	31	0	0
sp178	0	1	0	0
sp179	0	0	2	1
sp180	0	0	1	0
sp181	50	5	9	1
sp182	19	1	44	76
sp183	9	6	2	0
sp184	96	25	16	36
sp185	6	3	2	2
sp186	216	146	63	77
sp187	96	49	18	22
sp188	103	23	23	2
sp189	2	5	6	0
sp190	38	24	189	0
sp191	0	0	0	0
sp192	2	1	0	0
sp193	0	2	2	0
sp194	333	2	1	0
sp195	0	3	6	0
sp196	3	8	17	0
sp197	0	0	0	0
sp198	1	0	1	0
sp199	0	0	5	0
sp200	16	3	22	1
sp201	9	2	1	1
sp202	0	3	1	0
sp203	1	0	1	1
sp204	0	1	11	114
sp205	1608	656	341	314
sp206	1	5	4	1
sp207	107	65	32	0
sp208	11	0	0	0
sp209	5	46	52	96
sp210	0	2	9	0
sp211	1	0	0	0
sp212	38	52	18	0
sp213	33	1	0	0
sp214	60	38	22	14
sp215	757	165	75	29
sp216	0	0	0	0
sp217	2	0	0	0
sp218	0	0	0	0
sp219	0	1	0	1
sp220	0	0	1	0
sp221	0	1	0	0
sp222	0	1	0	0
sp223	0	0	0	0
sp224	1	0	2	0
sp225	0	0	0	0
sp226	0	0	1	0
sp227	0	0	1	0
sp228	0	0	0	0
sp229	0	1	0	0
sp230	0	1	0	0
sp231	0	0	2	0
sp232	1	0	0	0
sp233	0	1	0	0
sp234	0	0	0	0
sp235	0	0	1	0
sp236	0	0	0	0
sp237	0	0	0	0
sp238	0	1	0	0
sp239	1	0	0	0
sp240	0	0	2	0
sp241	0	0	1	0
sp242	0	1	0	0
sp243	0	2	0	0
sp244	0	0	4	0
sp245	0	0	0	1
sp246	0	0	0	1
sp247	0	0	0	0
sp248	0	0	1	0
sp249	0	0	4	0
sp250	0	1	0	0
sp251	0	0	0	0
sp252	0	0	1	0
sp253	1	0	0	0
sp254	0	1	0	0
sp255	0	0	1	0
sp256	0	0	0	0
sp257	0	0	0	0
sp258	0	1	0	0
sp259	1	0	0	0
sp260	0	0	0	0
sp261	0	92	9	1
sp262	0	0	0	0
sp263	0	0	0	1
sp264	12	0	0	0
sp265	1	0	0	0
sp266	0	0	0	0
sp267	1	0	0	0
sp268	12	0	1	1
sp269	0	5	0	0
sp270	0	0	1	0
sp271	0	0	1	0
sp272	0	0	138	6
sp273	6	4	2	1
sp274	2	0	1	0
sp275	1	0	0	0
sp276	0	0	0	0
